sample,total reads,after filtering barcode,after trimming,uniquely aligned reads,After remove duplicates
A01, 1459039, 511061, 494466, 291903,182978
A02, 301659, 192347, 184649, 104306,85711
A03, 1183489, 442585, 426961, 271749,162165
A04, 591791, 214690, 205699, 134801,94805
A05, 1708579, 1118241, 1062725, 584181,283712
A06, 10358675, 8361175, 7867741, 4007686,1311950
A07, 2563184, 2290455, 2215883, 1473962,488445
A08, 8878280, 7873540, 7620518, 4361446,1941728
A09, 378502, 320781, 304435, 168003,118159
A10, 2979948, 2477841, 2410213, 1588773,800596
B01, 623968, 537041, 517889, 327915,262087
B02, 936529, 797105, 768255, 500186,347352
B03, 3771495, 3315984, 3217420, 2272846,867373
B04, 1504639, 1292139, 1243797, 742328,374763
B05, 3308343, 2867221, 2713680, 1425808,704432
B06, 5909868, 5162963, 4849897, 3158988,926442
B07, 1095434, 857813, 826082, 527925,192881
B08, 4433949, 4006091, 3865995, 2500944,973568
B09, 286786, 244827, 234421, 157000,110104
B10, 1104051, 966907, 938583, 623860,416038
C01, 22928229, 20284850, 19707704, 13472096,2901930
C02, 3778563, 3444065, 3313681, 2108534,1047655
C03, 42778369, 39084005, 37992166, 24697031,6489896
C04, 7566594, 6767528, 6516369, 4187697,1527717
C05, 2507503, 2210559, 2099685, 867024,356649
C06, 11572819, 10205756, 9586195, 6392786,1549553
C07, 18958383, 16849629, 16298718, 9523241,2341763
C08, 5801084, 5162461, 4977200, 2409445,891962
C09, 603558, 527930, 502220, 285000,169850
C10, 22457543, 20386146, 19788733, 12415347,4824248
D01, 52733201, 47505547, 46242936, 29465871,5093568
D02, 2920564, 2595353, 2497403, 1573745,881710
D03, 24227517, 21638080, 21030784, 13034837,3428829
D04, 9172516, 8183264, 7901694, 4273182,1557005
D05, 2299385, 2013199, 1910436, 1035894,441244
D06, 11063955, 9893921, 9317903, 5813319,1413996
D07, 10293487, 8800323, 8516920, 5867605,1576309
D08, 995300, 861618, 829979, 538923,332109
D09, 657688, 578183, 552272, 340295,206328
D10, 2047211, 1852006, 1792106, 1315444,705771
